Task ID,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Project Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments
xzrg5,Fix remote access trace log,"What should we do?\nDatadog trace dosn't working on remote access on kubernetes we got this error message:\nI  time=""2019-05-22T06:07:01.870383355Z"" level=info msg=""2019/05/22 06:07:01 Datadog Tracer Error (v1.10.0): lost traces (count: 4), error: Post http://10.128.0.40:8126/v0.4/traces: dial tcp 10.128.0.40:8126: connect: connection refused""\n \nI  time=""2019-05-22T06:08:01.870442938Z"" level=info msg=""2019/05/22 06:08:01 Datadog Tracer Error (v1.10.0): lost traces (count: 4), error: Post http://10.128.0.40:8126/v0.4/traces: dial tcp 10.128.0.40:8126: connect: connection refused""\n \n",🚀 in progress,1558530260130,"5/22/2019, 3:04:20 PM GMT+2",,,,,null,[],"[Kristof Molnosi,Gabor Takacs]","[epic: remote access,issue,maintenance]",1,Infrastructure,Engineering,Iterations,3600000,1 h ,{},[]
z1x9m,Once ready remove all people from DNSimple who doesn't have to have access - but notify them about it with a link to the process that describes how to manage DNSimple entries from now on (README in the repo),null,Open,1559296818431,"5/31/2019, 12:00:18 PM GMT+2",,,,,j94gw,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
pfe79,Review,null,Closed,1553453090020,"3/24/2019, 7:44:50 PM GMT+1",,,,,pfe78,[],[Otto Virag],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
pfe78,Implement Viper in DEN CLI,"Use case(s)\nUsing this library the development of the DEN CLI would be much cleaner, and consistent with the Cobra & Viper idiom (which should be practiced across all of Infra's major command line tools)\nDescription\nRight now the DEN CLI does not utilise the Viper library (opposed to most of DEN), but uses our envutil package, and the server's configuration package for fetching environment variables, which is a bit messy.\nAdditional resources/research (optional)\nThe configuration right now mostly happens at the root.go file\nhttps://github.com/bitrise-team/den/blob/master/cli/cmd/root.go\n\nThis behaviour should be implemented in a separate config function which loads the necessary defaults, an optional config file, the environment, and the Cobra flags into Viper. This function then should setup in Cobra's OnInitialize (in main.go) function, so it would be called before every method's Execute call. Then every method could query Viper for correct configuration values safely.\n\n",👀 blocked,1553453090012,"3/24/2019, 7:44:50 PM GMT+1",,,,,null,[],[Miklós Lőrinczi],"[den,intern friendly,maintenance]",2,Infrastructure,Engineering,Iterations,7200000,2 h ,{},[]
pz774,review,null,Open,1553772412904,"3/28/2019, 12:26:52 PM GMT+1",,,,,pz6u4,[],[Kristof Molnosi],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
bdv4h,"Encrypt Task data (including the configs and secrets, which includes SSH key) before storing into DB.","Use case(s)\nSecrets should not be stored unencrypted in our DEN (Server) DB.\nDescription\nCurrent flow is:\nA Task is created via the API\nDEN Server stores the Task config (including secrets) into it's Postgres DB\nWhen Agent asks for a Task the DEN server will read the Task data from DB and give it to the Agent.\n\nChanged flow:\nA Task is created via the API (same as it is today)\nDEN Server **encrypts** the task data (config, secrets) and stores the **encrypted** data in the PostgresDB\nWhen the Agent asks for a Task the DEN server will read the **encrypted** Task config/data from the DB, **decrypt** it and give it to the Agent (in non encrypted form).\n\nHow it should work for the user\nWe should store secret information in the DEN DB in an encrypted form, so that if someone gains access to the DB or to a backup/DB dump these information would be encrypted inside it. \n\nAdditional resources / research (optional)\nUse the same Symmetric encryption we use in the Website for storing sensitive data encrypted in the DB: aes-256-gcm - https://github.com/bitrise-io/bitrise-website/blob/master/app/models/repository.rb#L94\n",Open,1542377756260,"11/16/2018, 3:15:56 PM GMT+1",,,,,null,[],"[Miklós Lőrinczi,Otto Virag]","[den,enhancement]",3,Infrastructure,Engineering,Iterations,14400000,4 h ,{},"[{""text"":""Approved, go ahead.\n"",""by"":""peter.szabo@bitrise.io"",""assigned"":false,""date"":""4/23/2019, 4:23:04 PM GMT+2"",""resolved"":""N/A""},{""text"":""The key will be stored in a heroku env var @Peter Szabo "",""by"":""gabor.takacs@bitrise.io"",""assigned"":false,""date"":""4/23/2019, 3:33:20 PM GMT+2"",""resolved"":""N/A""},{""text"":""Also the algorithm used by website : aes-256-gcm is good. I prefer standardising our crypto. \n"",""by"":""peter.szabo@bitrise.io"",""assigned"":false,""date"":""4/23/2019, 3:25:42 PM GMT+2"",""resolved"":""N/A""},{""text"":""Quick question: Where will the encryption/decryption key be stored? \n"",""by"":""peter.szabo@bitrise.io"",""assigned"":false,""date"":""4/23/2019, 3:25:01 PM GMT+2"",""resolved"":""N/A""},{""text"":""Which algorithm:\n\nSame as in website - ping @Peter Szabo to approve\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":""peter.szabo@bitrise.io"",""date"":""4/23/2019, 11:33:47 AM GMT+2"",""resolved"":true},{""text"":""Notes:\n\nwhole Task config/data should be encrypted\nrewrite card to only include the up to date details\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""4/23/2019, 11:33:15 AM GMT+2"",""resolved"":""N/A""},{""text"":""Remove the agent part.\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":""viktor.benei@bitrise.io"",""date"":""4/23/2019, 10:44:00 AM GMT+2"",""resolved"":true},{""text"":""Bumping as we decided to not to implement the temporary solution ( bdv6y )\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""4/5/2019, 2:48:24 PM GMT+2"",""resolved"":""N/A""},{""text"":""We should deprio this to low\n"",""by"":""gabor.takacs@bitrise.io"",""assigned"":""adam.cooper@bitrise.io"",""date"":""3/21/2019, 11:43:06 AM GMT+1"",""resolved"":true},{""text"":""Alright\n"",""by"":""peter.szabo@bitrise.io"",""assigned"":false,""date"":""11/20/2018, 10:49:49 AM GMT+1"",""resolved"":""N/A""},{""text"":""De-prioritising this after discussion with @Viktor Benei & @Gabor Takacs because the bdv6y will provide a short term solution.\n"",""by"":""adam.cooper@bitrise.io"",""assigned"":""peter.szabo@bitrise.io"",""date"":""11/20/2018, 10:36:25 AM GMT+1"",""resolved"":true}]"
maqxt,review 2.0,null,Open,1551779741499,"3/5/2019, 10:55:41 AM GMT+1",,,,,begmg,[],[Gabor Takacs],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
pz6u4,Switch gometalinter with golangci-lint,What should we do?\nWe should change the linter we use in our CI from gometalinter to golangci-lint\n\nWhy should we do this?\ngometalinter is DEPRECATED and the project will be archived on 2019-04-07.\nalso they promise that golangci-lint is 5 times faster\n\nAdditional information\nhttps://github.com/golangci/golangci-lint\n,Open,1553771976428,"3/28/2019, 12:19:36 PM GMT+1",,,,,null,[],[Miklós Lőrinczi],"[den,maintenance]",2,Infrastructure,Engineering,Iterations,7200000,2 h ,{},[]
tg9jw,setup protected branch approved by code owners,null,Open,1555576612308,"4/18/2019, 10:36:52 AM GMT+2",,,,,j94gw,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
9wc8q,Research whether increasing build machine GCE disk size to 200GB improves performance,"Use case(s)\nWhen creating a VM via gcloud we see this warning: WARNING: You have selected a disk size of under [200GB]. This may result in poor I/O performance. For more information, see: https://developers.google.com/compute/docs/disks#performance. \nDescription\nEvaluate whether increasing disk size increases performance.\n\nIt costs ~$4/mo/VM to do this, so we should measure whether this actually has any noticeable performance increase. \n\nHow it should work for the user\nBetter performance.\n\nKey Results that need to be tracked\nBetter performance. We should run a baseline test to check performance currently and then run a series of comparisons with increased disk size\n\nBlog post if it actually makes a difference - it's important to make our users see that we do tune the infra for them - money well spent with us.\n\nAdditional resources / research (optional)\n",Open,1540374070215,"10/24/2018, 11:41:10 AM GMT+2",,,,,null,[],[Kristof Molnosi],"[enhancement,research]",2,Infrastructure,Engineering,Iterations,10800000,3 h ,{},"[{""text"":""Done, increased priority. The research should be straightforward and based on that we can decide whether we want to implement it.\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""4/1/2019, 3:57:16 PM GMT+2"",""resolved"":""N/A""},{""text"":""We should raise prio because of time passed\n"",""by"":""gabor.takacs@bitrise.io"",""assigned"":""viktor.benei@bitrise.io"",""date"":""3/21/2019, 11:39:25 AM GMT+1"",""resolved"":true}]"
tg9hp,review,null,Open,1555576542624,"4/18/2019, 10:35:42 AM GMT+2",,,,,j94gw,[],[Kristof Molnosi],[],null,Infrastructure,Engineering,Iterations,1800000,30 m,{},[]
xbrzv,Review,null,Open,1558096517634,"5/17/2019, 2:35:17 PM GMT+2",,,,,xbryv,[],[Gabor Takacs],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
begmg,Create a suite of test projects for the VM updates and a checker script/workflow that ensures no sample failed,"Use case\nBe able to quickly and efficiently run & check the sample/test builds on the updated VMs during the weekly VM update procedure (and also run control builds on them every day, to detect mid-week regressions, which aren't infra related).\nWhat to do\nCreate github.com/bitrise-io/testman repo as a **private** repository (private because we'll have to use private API params for non published VM stacks)\nCreate a new Bitrise.io Organization with the name Regression Test Projects\nInvite the Infra & Tooling teams as well as Viktor\nSet the build timeout of the org to 10800 (3 hours)\nGrant 5 concurrencies to the org\nMove our existing samples we use for the weekly VM update regression checks into this org\ntestman should include the test runner tool + a testman-config.yml \nRegister the testman repo on Bitrise into this Regression Tests org\nCreate scheduled builds for every day which runs testman on the current PROD stacks\nCreate a workflow which runs testman on the ""beta""/""upcoming"" stacks, which aren't available for users - will be triggered as part of the VM updates process.\nIn all workflows have a Slack step that notifies us if it would fail.\nOnce ready delete the old script based solution we used\nhttps://github.com/bitrise-team/system-tests\nhttps://app.bitrise.io/app/bac1fe9669707858#/builds\n\nTestman:\nRequires a Personal Access Token (as env var or flag)\nWhen you run testman:\nIt should trigger all the test builds defined in testman-config.yml \nWait for the results\nShould succeed if non fails, should fail if at least one fails (non success, including error or abort)\nBe able to re-run a single test (in case we'd have to re run one or a few, but not all)\n\ntestman-config.yml:\n\nstacks:\n    - xcode-9.4.x\n    - xcode-10.0.x\n    - ...\napps: [\n    {\n        slug: asdf1234,\n        description: ""android-sdk22 runs Emulator test"",\n        branches: [master]\n        workflows: [primary]\n        stacks:\n        - xcode-9.4.0x\n        - ...\n    }\n]\n\n\n\nAdditional resources/research (optional)\nFor ""Full VM test"" we use https://app.bitrise.io/app/bac1fe9669707858#/builds / https://github.com/bitrise-team/system-tests right now, though this is most likely an overkill to run on every single stack, but we should come up with just the minimum amount of samples we care about, with tests for most of the popular tools (e.g. cocoapods/ruby based tool - this is missing from the current single VM update sample project build we perform).\n",🚀 in progress,1542621911421,"11/19/2018, 11:05:11 AM GMT+1",,,,,null,[],"[Otto Virag,Miklós Lőrinczi]",[maintenance],2,Infrastructure,Engineering,Iterations,46800000,13 h ,"{""Creator Checklist"":[""I've added at least one use case"",""I've proposed how it should work for the user (user journey)"",""I've proposed a priority""]}","[{""text"":""Revision of the card done, ready to be estimated\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""2/8/2019, 4:56:28 PM GMT+1"",""resolved"":""N/A""},{""text"":""Architecture Discussion notes:\n\nShould be simple for both Infra & Tooling, but also should be clear who's responsible for which samples and e.g. if a sample breaks who should debug & fix it.\nRewrite this card once discussed, to only include things we agreed on instead of multiple possible solutions; include only one solution.\nShould we discuss this on EngArch?\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""1/30/2019, 10:37:03 AM GMT+1"",""resolved"":""N/A""},{""text"":""In the last couple of weeks we had a few regressions caused by VM updates, which today only surface after the VMs are deployed to production, and so we had to do rollbacks.\n\nWe should be able to prevent this, to only do the deploy if the new VMs were thoroughly tested and all predefined tests passed.\n"",""by"":""viktor.benei@bitrise.io"",""assigned"":false,""date"":""11/19/2018, 11:11:59 AM GMT+1"",""resolved"":""N/A""}]"
y0frv,Review,null,Open,1558534868766,"5/22/2019, 4:21:08 PM GMT+2",,,,,xzrg5,[],[Gabor Takacs],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
vj00r,"Create ""validate"" command for Cluster and run that on the configs inside bitrise-control-provision","What should we do?\nCreate a validate command in Cluster to be able to run it on cluster configs. Then wire it in for validation of cluster configs in https://github.com/bitrise-io/build-control-provision  repo.\nWhy should we do it?\nTo prevent issues like https://github.com/bitrise-io/build-control-provision/pull/90/commits/b6444a108dd73eeb54efc6db095af0bf51ad88be#diff-fa466daaab8a5c67202cf4705e2277d7R77 ( discussion: https://bitfall.slack.com/archives/C9VFETHDW/p1556983488081000 ).\n\nBasically because of the indent issue there were 0 pools defined in the YAML. Instead of:\n\npools:\n  '--osx-xcode-edge#--elite1#--mac-stadium#--green':\nIt was\npools:\n'--osx-xcode-edge#--elite1#--mac-stadium#--green':\n. When deployed into production the cluster gave an error, but we only got that in production because of the lack of config validation.\nMore details\nThe validate command should use the exact same validation function the Cluster has when it starts & validates its config.\n",👀 blocked,1557125728029,"5/6/2019, 8:55:28 AM GMT+2",,,,,null,[],[Miklós Lőrinczi],[maintenance],2,Infrastructure,Engineering,Iterations,10800000,3 h ,{},"[{""text"":""I have created the validate command in den/cluster\nhttps://github.com/bitrise-io/den/pull/328\n"",""by"":""miklos.lorinczi@bitrise.io"",""assigned"":false,""date"":""5/30/2019, 2:46:47 PM GMT+2"",""resolved"":""N/A""}]"
xzw0w,Fix remote access cron tab,What should we do?\nIn the production remote access doesn't working the cron tab. \nWhy should we do it?\nWe need fix it because we have a lot ngrok tunnel what we don't use.\n\n,Open,1558534497193,"5/22/2019, 4:14:57 PM GMT+2",,,,,null,[],"[Kristof Molnosi,Gabor Takacs]","[issue,maintenance]",1,Infrastructure,Engineering,Iterations,7200000,2 h ,{},"[{""text"":""If started without Trace fix, stop after 1 hour (if not solved)\n"",""by"":""miklos.lorinczi@bitrise.io"",""assigned"":false,""date"":""5/27/2019, 2:23:30 PM GMT+2"",""resolved"":""N/A""},{""text"":""Please investigate this issue\n"",""by"":""miklos.lorinczi@bitrise.io"",""assigned"":""kristof.molnosi@bitrise.io"",""date"":""5/27/2019, 10:22:35 AM GMT+2"",""resolved"":false}]"
qgj27,Review,null,Open,1554195575845,"4/2/2019, 10:59:35 AM GMT+2",,,,,9wc8q,[],[Gabor Takacs],[],null,Infrastructure,Engineering,Iterations,1800000,30 m,{},[]
maqx0,review,null,Open,1551779721306,"3/5/2019, 10:55:21 AM GMT+1",,,,,begmg,[],[Miklós Lőrinczi],[],null,Infrastructure,Engineering,Iterations,3600000,1 h ,{},[]
t8z1h,create implementation card,null,Open,1555403837802,"4/16/2019, 10:37:17 AM GMT+2",,,,,r9z8x,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
x8eun,Find a vSphere consultant,"What should we do?\nFind a vSphere consultant (person or company) who can help us with tweaking/fine-tuning our MacStadium vSphere configs.\n\nGoal of this card:\nFind a few(3+) potential candidates\nContact them\nHave a quote/hourly $ from them to see how much they charge for helping us with the config review & tweaks.\nCollect the infos in a doc that we can then review and decide which one to choose.\nWhy should we do it?\nWe lack the required deeper knowledge about vSphere to be able to find the right vSphere config that helps us with the queues.\n\nWe'd also like to contact the consultant in the future as we had quite a few cases in the past where someone with more vSphere knowledge would probably be able to help resolve a specific issue or fine-tuning faster than we can.\nMore details\nThis site was suggested on YC internal forum: https://www.vmug.com/home\nThe Hungarian sub community: https://community.vmug.com/communities/localcommunityhome?CommunityKey=da657737-6fc8-44e4-a785-4678c6c4a1b6 - might worth to ask for recommendation here\n\nAnother option might be proservices Kft who we contacted about the office network maintenance, they are a VMware certified partner. \n",👀 blocked,1558002245952,"5/16/2019, 12:24:05 PM GMT+2",,,,,null,[],[Kristof Molnosi],[maintenance],1,Infrastructure,Engineering,Iterations,18000000,5 h ,{},"[{""text"":""https://docs.google.com/document/d/1Y4CrUwZwt6-eTsAQaNXxinzYAL7riNQHhuQhj6gcZYc/edit\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/24/2019, 10:49:59 AM GMT+2"",""resolved"":""N/A""},{""text"":""Waiting for responses\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":false,""date"":""5/23/2019, 4:20:36 PM GMT+2"",""resolved"":""N/A""}]"
qnacr,Create postmortem for: incident-20190307-2,"\nWhat should we do?\nPlease write a postmortem in https://bitrise.pagerduty.com/postmortems about #incident-20190307-2 \nWhy should we do it?\nA post-mortem (or postmortem) is a process intended to help you learn from past incidents. It typically involves an analysis or discussion soon after an event has taken place.\n\nAs your systems scale and become more complex, failure is inevitable, assessment and remediation is more involved and time-consuming, and it becomes increasingly painful to repeat recurring mistakes. Not having data when you need it is expensive.\n\nThe good news is, most organizations do have some kind of a post-mortem process in place to assess what happened once a service has been restored. Arguably, any resolution of an issue isn’t truly complete until a team has fully documented and reflected on it.\n\n(https://www.pagerduty.com/resources/learn/post-mortem-incident-report/)\nMore details\nPagerDuty's postmortem feature is really neat, it guides you through the right things to collect, for smaller incidents it usually takes less than 30 minutes to collect all the data that will help us improve.\n",Open,1554279317335,"4/3/2019, 10:15:17 AM GMT+2",,,,,null,[],"[Gabor Takacs,Kristof Molnosi]",[maintenance],1,Infrastructure,Engineering,Iterations,5400000,1 h 30 m,{},[]
10cgxz,Weekly Facilitator,"What should we do?\nHelp the team's workdays with the listed tasks: https://app.nuclino.com/Bitrise/Infrastructure/Facilitator-of-the-Week-ffb0c876-fb5c-4ce9-9c34-39ce29b3a5f8\nWhy should we do it?\nThis way other team members do not need to care about administrative tasks, they can be more focused during the week.\n",🚀 in progress,1560245671751,"6/11/2019, 11:34:31 AM GMT+2",,,,,null,[],[Otto Virag],[maintenance],1,Infrastructure,Engineering,Iterations,7200000,2 h ,{},[]
x8f60,Once the Doc is ready let ViktorB know - I'll check the numbers and then we can decide together about which one of the candidates we want to choose.,null,Open,1558002754725,"5/16/2019, 12:32:34 PM GMT+2",,,,,x8eun,[],[],[],null,Infrastructure,Engineering,Iterations,,,{},[]
x8euv,Review,null,Open,1558002255631,"5/16/2019, 12:24:15 PM GMT+2",,,,,x8eun,[],[Gabor Takacs],[],null,Infrastructure,Engineering,Iterations,1800000,30 m,{},[]
xbryv,Automate shutdown Den cluster pools,Use case(s)\nWe should automatise the DEN cluster pools shutdown because it takes a long time every cluster update. \nDescription\nThis is the steps when we update clusters:\nhttps://app.nuclino.com/Bitrise/Bitrise-Onboarding\n\n\n,Open,1558096433313,"5/17/2019, 2:33:53 PM GMT+2",,,,,null,[],[Kristof Molnosi],[enhancement],1,Infrastructure,Engineering,Iterations,7200000,2 h ,{},"[{""text"":""Add details\n"",""by"":""kristof.molnosi@bitrise.io"",""assigned"":""gabor.takacs@bitrise.io"",""date"":""5/21/2019, 10:52:48 AM GMT+2"",""resolved"":false}]"
yd17a,Review,null,Open,1558696117872,"5/24/2019, 1:08:37 PM GMT+2",,,,,yd16v,[],[],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
ewgwv,Watch the networking part of the vSphere PS course,What should we do?\nGabor should watch this:  https://app.pluralsight.com/library/courses/vsphere-6-5-foundations-configure-vsphere-networking/table-of-contents\nWhy should we do it?\nTo understand better how networking in vSphere works before setting up the new cluster.\n,Open,1547126205502,"1/10/2019, 2:16:45 PM GMT+1",,,,,null,[],[Gabor Takacs],[maintenance],2,Infrastructure,Engineering,Iterations,10800000,3 h ,"{""Creator Checklist"":[""Have you set a priority?"",""Have you set the correct Location?""]}",[]
9wc90,Present and discuss results with Viktor,null,Open,1540374080275,"10/24/2018, 11:41:20 AM GMT+2",,,,,9wc8q,[],[Viktor Benei],[],null,Infrastructure,Engineering,Iterations,,,{},[]
wvy4f,review,null,Open,1557823580925,"5/14/2019, 10:46:20 AM GMT+2",,,,,wckww,[],[],[],null,Infrastructure,Engineering,Iterations,900000,15 m,{},[]
wckww,Migrate users and remove stacks Xcode 9.2 8.3 hybrid (xamarin-stable),The stacks Xcode 9.2 and 8.3 hybrid (xamarin-stable) are deprecated and scheduled to be removed on 2019.06.08\n\nMigrate users from Xcode 9.2 to Xcode 9.4 and from 8.3 hybrid to 8.3\nRemove these stacks from the website\nCreate a post on Discuss about the changes (like this https://discuss.bitrise.io/t/stack-deprecations-disabling-selection-of-xcode-7-3-1-9-0-9-1-and-9-3-stacks/6822 )\n,🚀 in progress,1557483837015,"5/10/2019, 12:23:57 PM GMT+2",1559700000000,"6/5/2019, 4:00:00 AM GMT+2",,,null,[],"[Kristof Molnosi,Otto Virag]",[maintenance],1,Infrastructure,Engineering,Iterations,3600000,1 h ,{},[]
r9zad,Review,null,Open,1554737980802,"4/8/2019, 5:39:40 PM GMT+2",,,,,r9z8x,[],[Otto Virag],[],null,Infrastructure,Engineering,Iterations,1800000,30 m,{},[]
